Law Pinecone Indexing Report - Generated on 2025-03-16 22:05:50
FULL MODE
Total .json files processed: 3791
Successfully upserted: 3790
Failed to upsert: 1
All files upserted? NO
Total execution time: 1h 31m 14s

Time taken per file:
  - 100_10_C2025C00029VOL03_20250314_213620.json: 2.57 sec
  - 100_15_C2025C00029VOL03_20250314_213620.json: 1.04 sec
  - 100_20_C2025C00029VOL03_20250314_213620.json: 0.89 sec
  - 100_25_C2025C00029VOL03_20250314_213620.json: 1.05 sec
  - 100_30_C2025C00029VOL03_20250314_213620.json: 1.07 sec
  - 100_33_C2025C00029VOL03_20250314_213620.json: 0.76 sec
  - 100_35_C2025C00029VOL03_20250314_213620.json: 1.28 sec
  - 100_40_C2025C00029VOL03_20250314_213620.json: 1.09 sec
  - 100_45_C2025C00029VOL03_20250314_213620.json: 0.79 sec
  - 100_50_C2025C00029VOL03_20250314_213620.json: 0.96 sec
  - 100_55_C2025C00029VOL03_20250314_213620.json: 0.95 sec
  - 100_5_C2025C00029VOL03_20250314_213620.json: 0.89 sec
  - 100_60_C2025C00029VOL03_20250314_213620.json: 1.19 sec
  - 100_65_C2025C00029VOL03_20250314_213620.json: 0.81 sec
  - 100_70_C2025C00029VOL03_20250314_213620.json: 0.86 sec
  - 102_10_C2025C00029VOL03_20250314_213620.json: 0.81 sec
  - 102_15_C2025C00029VOL03_20250314_213620.json: 0.74 sec
  - 102_20_C2025C00029VOL03_20250314_213620.json: 1.15 sec
  - 102_22_C2025C00029VOL03_20250314_213620.json: 0.80 sec
  - 102_23_C2025C00029VOL03_20250314_213620.json: 0.89 sec
  - 102_25_C2025C00029VOL03_20250314_213620.json: 1.05 sec
  - 102_30_C2025C00029VOL03_20250314_213620.json: 0.88 sec
  - 102_3_C2025C00029VOL03_20250314_213620.json: 0.81 sec
  - 102_5_C2025C00029VOL03_20250314_213620.json: 0.74 sec
  - 103_10_C2025C00029VOL03_20250314_213620.json: 0.79 sec
  - 103_15_C2025C00029VOL03_20250314_213620.json: 0.73 sec
  - 103_25_C2025C00029VOL03_20250314_213620.json: 0.78 sec
  - 103_30_C2025C00029VOL03_20250314_213620.json: 0.83 sec
  - 103_5_C2025C00029VOL03_20250314_213620.json: 0.77 sec
  - 104_100_C2025C00029VOL03_20250314_213620.json: 0.88 sec
  - 104_105_C2025C00029VOL03_20250314_213620.json: 1.55 sec
  - 104_10_C2025C00029VOL03_20250314_213620.json: 1.01 sec
  - 104_110_C2025C00029VOL03_20250314_213620.json: 0.87 sec
  - 104_115_C2025C00029VOL03_20250314_213620.json: 0.78 sec
  - 104_120_C2025C00029VOL03_20250314_213620.json: 0.91 sec
  - 104_125_C2025C00029VOL03_20250314_213620.json: 0.85 sec
  - 104_130_C2025C00029VOL03_20250314_213620.json: 0.72 sec
  - 104_135_C2025C00029VOL03_20250314_213620.json: 0.96 sec
  - 104_150_C2025C00029VOL03_20250314_213620.json: 0.85 sec
  - 104_155_C2025C00029VOL03_20250314_213620.json: 0.82 sec
  - 104_15_C2025C00029VOL03_20250314_213620.json: 1.17 sec
  - 104_160_C2025C00029VOL03_20250314_213620.json: 1.17 sec
  - 104_165_C2025C00029VOL03_20250314_213620.json: 1.96 sec
  - 104_170_C2025C00029VOL03_20250314_213620.json: 1.13 sec
  - 104_175_C2025C00029VOL03_20250314_213620.json: 0.86 sec
  - 104_180_C2025C00029VOL03_20250314_213620.json: 0.77 sec
  - 104_182_C2025C00029VOL03_20250314_213620.json: 1.06 sec
  - 104_190_C2025C00029VOL03_20250314_213620.json: 0.92 sec
  - 104_195_C2025C00029VOL03_20250314_213620.json: 7.97 sec
  - 104_205_C2025C00029VOL03_20250314_213620.json: 0.93 sec
  - 104_20_C2025C00029VOL03_20250314_213620.json: 0.81 sec
  - 104_215_C2025C00029VOL03_20250314_213620.json: 0.72 sec
  - 104_220_C2025C00029VOL03_20250314_213620.json: 0.76 sec
  - 104_225_C2025C00029VOL03_20250314_213620.json: 1.05 sec
  - 104_230_C2025C00029VOL03_20250314_213620.json: 0.87 sec
  - 104_240_C2025C00029VOL03_20250314_213620.json: 0.93 sec
  - 104_245_C2025C00029VOL03_20250314_213620.json: 0.76 sec
  - 104_250_C2025C00029VOL03_20250314_213620.json: 0.88 sec
  - 104_255_C2025C00029VOL03_20250314_213620.json: 0.90 sec
  - 104_25_C2025C00029VOL03_20250314_213620.json: 0.82 sec
  - 104_260_C2025C00029VOL03_20250314_213620.json: 0.88 sec
  - 104_265_C2025C00029VOL03_20250314_213620.json: 0.86 sec
  - 104_270_C2025C00029VOL03_20250314_213620.json: 1.32 sec
  - 104_30_C2025C00029VOL03_20250314_213620.json: 1.12 sec
  - 104_35_C2025C00029VOL03_20250314_213620.json: 0.87 sec
  - 104_40_C2025C00029VOL03_20250314_213620.json: 0.76 sec
  - 104_45_C2025C00029VOL03_20250314_213620.json: 0.84 sec
  - 104_47_C2025C00029VOL03_20250314_213620.json: 0.93 sec
  - 104_55_C2025C00029VOL03_20250314_213620.json: 0.86 sec
  - 104_5_C2025C00029VOL03_20250314_213620.json: 0.93 sec
  - 104_60_C2025C00029VOL03_20250314_213620.json: 0.76 sec
  - 104_65_C2025C00029VOL03_20250314_213620.json: 0.80 sec
  - 104_70_C2025C00029VOL03_20250314_213620.json: 0.74 sec
  - 104_71_C2025C00029VOL03_20250314_213620.json: 0.86 sec
  - 104_72_C2025C00029VOL03_20250314_213620.json: 0.84 sec
  - 104_75_C2025C00029VOL03_20250314_213620.json: 0.91 sec
  - 104_80_C2025C00029VOL03_20250314_213620.json: 0.95 sec
  - 104_85_C2025C00029VOL03_20250314_213620.json: 0.86 sec
  - 104_90_C2025C00029VOL03_20250314_213620.json: 0.94 sec
  - 104_95_C2025C00029VOL03_20250314_213620.json: 0.78 sec
  - 106_30_C2025C00029VOL03_20250314_213620.json: 0.81 sec
